Stimulus,Neutral,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,space,0.602082014084,,,2016_Nov_03_1555,59.7821544531,untitled,001,,
Stimuli/FGSAD1.png,Stimuli/FGNEU.png,0,0,0,22,,,2,3.8503408432,2016_Nov_03_1555,59.7821544531,untitled,001,,
